var_names	sample_group_0	sample_group_1
Alcohol	0.17041216790676117	0.23418603837490082
Malic_acid	0.23374922573566437	0.1663098931312561
Ash	0.12966199219226837	0.15497466921806335
Alcalinity_of_ash	0.1488015502691269	0.16708721220493317
Magnesium	0.12754498422145844	0.1688983142375946
Total_phenols	0.11917237192392349	0.15416210889816284
Flavanoids	0.09890089184045792	0.1305992603302002
Nonflavanoid_phenols	0.23131272196769714	0.1482580155134201
Proanthocyanins	0.13207609951496124	0.1553167849779129
Color_intensity	0.2369835078716278	0.14121627807617188
Hue	0.16875791549682617	0.13385654985904694
OD280_OD315_of_diluted_wines	0.1577702760696411	0.1302218735218048
Proline	0.09289324283599854	0.25439903140068054
