Molecule,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA4,EState_VSA5,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_OH,fr_Ar_OH,fr_C_O,fr_C_O_noCOO,fr_Imine,fr_NH0,fr_NH1,fr_aldehyde,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_aniline,fr_benzene,fr_bicyclic,fr_ester,fr_ether,fr_halogen,fr_ketone,fr_ketone_Topliss,fr_methoxy,fr_phenol,fr_phenol_noOrthoHbond,fr_sulfide,fr_term_acetylene
3_Acetyl_Prasterone,14.077692106131895,-5.5047128921012884,14.077692106131895,2.594934334845047,0.5268094332325617,330.46799999999945,300.228,330.2194948200008,132,0.3024105458415588,-0.4622235911078995,0.4622235911078995,0.3024105458415588,1.0,1.7916666666666667,2.5833333333333335,-1.1898178194864398e-17,-0.24598670750027826,-1.429819184944277e-16,-2.932957474576314,-1.750394364230357e-16,-2.865054118064408,-8.17769851560659e-17,-1.1330292121326757,43.51650785794505,41.72474487139159,11.72474487139159,23.059236629528225,21.566496580927726,6.566496580927726,5.1727678416450935,5.1727678416450935,3.7509459934385125,3.7509459934385125,2.5723373663605718,2.5723373663605718,-1.12,3.5078245283763283,5.438698204448237,2.226455231290179,186.9108701040892,4.736862953800049,11.863262973314928,0.0,0.0,0.0,5.969305287951849,9.589074368143644,0.0,0.0,25.328960510696195,61.334412933462275,63.39397196211745,2.7415171123404405,55.44869400705034,11.75255023431679,0.0,0.0,28.5118539948828,77.61909358947204,0.0,11.625176276104835,0.0,43.370000000000005,129.5086740947765,13.701350036654302,0.0,0.0,0.0,4.736862953800049,37.010481016595946,264.6775638373123,0.0,26.665474268610037,0.0,-12.934579311005857,-21.688402829114104,-2.594934334845047,-44.885723464414355,-13.822731499876388,0.0,0.8095238095238095,24,0,3,4,0,4,0,0,3,0,3,4,3,0,3,4,4.450000000000004,92.26400000000005,0,0,2,2,0,0,0,0,0,1,0,0,0,5,1,1,0,1,1,0,0,0,0,0
5a-Dihydroprogesterone,13.911868873620763,-5.821716151738476,13.911868873620763,2.876467440805011,0.6958616348524284,316.4849999999994,284.229,316.2402302640009,128,0.13296018079654545,-0.29970568227974115,0.29970568227974115,0.13296018079654545,0.8260869565217391,1.5217391304347827,2.3043478260869565,-6.094433218424257e-16,-0.24599536154396767,-2.5490697650860994e-16,-2.986592397177708,-2.2041982866228054e-16,-2.9157132595015556,-1.8752135530013208e-16,-1.176401540335565,44.65470053837925,43.316496580927726,11.316496580927726,23.309401076758505,22.408248290463863,6.408248290463863,5.158248290463863,5.158248290463863,3.8291241452319316,3.8291241452319316,2.6786086270779395,2.6786086270779395,-0.66,3.094258707354986,5.166011488853452,2.1213865513476917,185.2968689071022,0.0,11.566489892729878,0.0,0.0,0.0,0.0,9.589074368143644,0.0,0.0,13.703784234591359,85.8681781068472,62.50408128546894,0.0,53.453348165590725,11.566489892729878,0.0,0.0,40.299769365608945,77.91200046385144,0.0,0.0,0.0,34.14,129.7782597221903,17.813625705164963,0.0,0.0,0.0,0.0,35.63972246042572,281.68913922107157,0.0,27.432270684801065,0.0,-11.279189421138835,-34.10616293578957,0.0,-47.66381499655652,-14.988909219054419,0.0,0.9047619047619048,23,0,2,4,0,4,0,0,2,0,2,4,4,0,4,4,4.803400000000005,90.90500000000006,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0
5b-Dihydrocorticosterone,14.147481118518725,-5.912283281368105,14.147481118518725,2.9072457284514304,0.8045612469330538,348.48299999999944,316.22700000000003,348.23005950400085,140,0.21067537116919235,-0.39278670695834983,0.39278670695834983,0.21067537116919235,0.96,1.76,2.52,-2.21895071912729e-17,-0.24599290264295046,-1.519504578022482e-16,-2.9818765311789432,-1.2173299260512226e-16,-2.9450854441459113,-1.8667215219042339e-16,-1.1692385849146365,46.06891410075235,44.13299316185545,12.132993161855453,24.430721420318143,22.632993161855453,6.816496580927726,5.4644345083117605,5.4644345083117605,4.07491495713053,4.07491495713053,2.933763808617852,2.933763808617852,-0.74,3.7375492407256163,5.883519689857964,2.3946021476554824,195.0586769277487,10.217616382214425,12.342230189281228,5.783244946364939,2.8623993144652684,0.0,0.0,9.589074368143644,0.0,0.0,13.703784234591359,72.64336108822214,55.650288504617826,10.192293695460648,60.92944743546473,11.566489892729878,2.8623993144652684,0.0,40.299769365608945,70.76720147217637,6.558985242916289,0.0,0.0,74.6,129.19244597343152,20.555142817505402,0.0,0.0,0.0,10.217616382214425,33.01908755021011,282.1751861739563,0.0,27.735091609001344,7.707853354026554,-11.454837569286981,-34.619372750167436,0.0,-48.26284107892472,-15.197746405271879,0.0,0.9047619047619048,25,2,4,4,0,4,0,0,4,2,4,6,4,0,4,4,2.746600000000001,93.70660000000005,2,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0
Progesterone,13.866029248412453,-5.600526738473172,13.866029248412453,2.287935121611394,0.7013194281770768,314.4689999999994,284.229,314.22458020000084,126,0.15519729043717378,-0.29969370556608593,0.29969370556608593,0.15519729043717378,1.0,1.8695652173913044,2.652173913043478,-7.886922700336346e-17,-0.24599137367635188,-1.4296921842112256e-16,-2.947964768918516,-7.317717460363364e-17,-2.872125286768344,-7.784951902705552e-17,-1.143813789856371,42.809401076758505,41.316496580927726,11.316496580927726,22.59209314720961,21.408248290463863,6.408248290463863,5.158248290463863,5.158248290463863,3.8291241452319316,3.8291241452319316,2.6786086270779395,2.6786086270779395,-0.9200000000000002,3.2340923639689065,5.036596433775879,2.056976312427387,181.79732487458236,0.0,5.783244946364939,5.783244946364939,0.0,0.0,0.0,9.589074368143644,0.0,0.0,19.276888764660626,86.02629216751968,52.018880715628875,1.3707585561702202,50.71183105325028,11.566489892729878,0.0,0.0,34.405811680245876,71.53907556252206,0.0,11.625176276104835,0.0,34.14,129.13655341160268,16.442867148994743,0.0,0.0,0.0,0.0,34.2689639042555,262.83208690669494,0.0,27.109093096629792,0.0,-13.108071525678177,-27.45730315267879,-2.287935121611394,-40.64338861889009,-14.527814917799585,0.0,0.8095238095238095,23,0,2,4,0,4,0,0,2,0,2,4,3,0,3,4,4.723500000000005,90.88100000000006,0,0,2,2,0,0,0,0,0,1,0,0,0,5,0,0,0,2,1,0,0,0,0,0
5b-Androstane-3_17-dione,13.997353119488533,-5.589236111111114,13.997353119488533,2.7915334204669513,0.6702343996322836,288.4309999999994,260.20699999999994,288.2089301360008,116,0.13855528441680995,-0.29970568227974115,0.29970568227974115,0.13855528441680995,0.7142857142857143,1.4761904761904763,2.2857142857142856,-1.0626361429559188e-16,-0.24598997912579967,-2.54951099042772e-16,-2.979867201299708,-1.2720519278736315e-16,-2.912126398376537,-6.636180480694236e-17,-1.174580744829131,39.65470053837925,38.316496580927726,10.316496580927726,20.809401076758505,19.908248290463863,5.908248290463863,4.783248290463863,4.783248290463863,3.5561862178478973,3.5561862178478973,2.4286086270779395,2.4286086270779395,-0.66,2.8863710463740055,4.425383531312102,1.768639331731407,166.9471026776378,0.0,11.566489892729878,0.0,0.0,0.0,0.0,9.589074368143644,0.0,0.0,13.703784234591359,67.22837061882535,62.91500474615115,0.0,47.97031394090983,11.566489892729878,0.0,0.0,34.40581168024587,71.06010834655577,0.0,0.0,0.0,34.14,117.03240991953155,15.072108592824522,0.0,0.0,0.0,0.0,32.89820534808528,244.201047934574,0.0,27.37754868926067,0.0,-10.565061374086676,-27.32865581958093,0.0,-45.22369750986818,-9.877848586965648,0.0,0.8947368421052632,21,0,2,4,0,4,0,0,2,0,2,2,4,0,4,4,4.167300000000004,81.74100000000006,0,0,2,2,0,0,0,0,0,0,0,0,0,5,0,0,0,2,2,0,0,0,0,0
Norgestimate_intermedio,13.19757789609365,-5.547513345616027,13.19757789609365,1.0177526668891208,0.5481304832801619,354.4899999999995,324.25000000000006,354.2194948200008,140,0.30366254801561904,-0.4457039829115166,0.4457039829115166,0.30366254801561904,1.1538461538461537,2.0384615384615383,2.8461538461538463,5.003571149954666e-16,-0.24837760451715196,-1.509610382858175e-16,-2.9319962428962505,-6.132108815008976e-17,-2.8736357057454307,-2.3061241529713268e-17,-1.1511188843315685,44.93072142031815,42.72474487139159,12.72474487139159,24.12587986545175,22.066496580927726,7.066496580927726,5.274829914261059,5.274829914261059,3.8644770297464954,3.8644770297464954,2.85148277230987,2.85148277230987,-1.56,4.0699357546884345,6.553187015255113,2.645736725706391,198.6399797247417,4.736862953800049,1.3707585561702202,11.384295757348628,0.0,0.0,5.969305287951849,9.589074368143644,0.0,6.399401534821945,24.71835586754997,73.75940958082722,57.50001427675435,1.3707585561702202,55.44869400705034,11.75255023431679,0.0,0.0,35.36374611217847,70.28823425621007,0.0,11.625176276104835,12.319835853677588,43.370000000000005,129.0297068788102,20.555142817505402,0.0,6.399401534821945,5.920434318855644,0.0,34.893551189544894,267.6970327722235,0.0,26.350117180727764,0.0,-7.320167028262944,-36.41961626268798,-2.207947357885355,-38.769637530479,-8.913115106969311,0.0,0.7391304347826086,26,0,3,4,0,4,0,0,3,0,3,4,3,0,3,4,4.309300000000004,99.97000000000007,0,0,2,2,0,0,0,0,0,1,0,0,0,5,1,1,0,1,0,0,0,0,0,1
Pregnenolone,13.908995356149466,-5.5764875047241125,13.908995356149466,2.5211280654236994,0.7224207015753511,316.4849999999994,284.229,316.2402302640009,128,0.21046072331113358,-0.3927966848471336,0.3927966848471336,0.21046072331113358,1.0869565217391304,2.0,2.782608695652174,-1.7914424825579554e-16,-0.24599140477973064,-2.4369747730153675e-16,-2.943943265880804,-2.0622952871445147e-16,-2.8713531290526744,-1.3513533893556337e-16,-1.1411802733730387,44.43915758875543,43.316496580927726,11.316496580927726,23.49206971646647,22.316496580927726,6.408248290463863,5.158248290463863,5.158248290463863,3.8291241452319316,3.8291241452319316,2.6786086270779395,2.6786086270779395,-0.6300000000000001,3.103882902615668,5.181023216264269,2.1288816425048305,185.32664778519745,5.1088081911072125,5.783244946364939,0.0,1.4311996572326342,0.0,0.0,4.794537184071822,0.0,0.0,25.328960510696195,86.3471453228135,45.645955814299484,8.821535139290429,52.396860616455896,5.783244946364939,1.4311996572326342,0.0,34.405811680245876,77.61909358947206,0.0,11.625176276104835,0.0,37.3,129.43332649218772,14.389847077263362,0.0,0.0,0.0,5.1088081911072125,34.32940500531791,280.9284654835413,0.0,13.908995356149466,3.9413351740112472,-13.26948324777442,-25.015515688975068,-2.5788260975686583,-45.30964950419387,-14.60532147519008,0.0,0.8571428571428571,23,1,2,4,0,4,0,0,2,1,2,5,3,0,3,4,4.515300000000004,91.88080000000005,1,0,1,1,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,0,0,0,0
Pregnanediol,9.949590773809524,-5.940646258503401,9.949590773809524,3.890833516092631,0.7521643602370423,320.5169999999993,284.229,320.271530392001,132,0.2104455043642324,-0.3931197276586114,0.3931197276586114,0.2104455043642324,0.7391304347826086,1.4782608695652173,2.260869565217391,-7.330105326990613e-16,-0.24654348547812546,-0.002176068818025764,-3.001028511003475,-4.3114991132974603e-16,-2.930276531402277,-2.6682649900446846e-16,-1.1979548291041155,47.91421356237309,47.316496580927726,11.316496580927726,25.12132034355964,24.22474487139159,6.408248290463863,5.158248290463863,5.158248290463863,3.8291241452319316,3.8291241452319316,2.6786086270779395,2.6786086270779395,-0.08,2.8723265829377245,5.4591039275100535,2.268596839132264,192.3555147283324,10.217616382214425,0.0,0.0,2.8623993144652684,0.0,0.0,0.0,0.0,0.0,13.703784234591359,104.50798559486904,43.86427379744706,14.901553166240415,56.82340729200196,0.0,2.8623993144652684,0.0,40.299769365608945,90.07203651775141,0.0,0.0,0.0,40.46,130.3718058833604,15.078344117872419,0.0,0.0,0.0,10.217616382214425,34.389846106380325,320.1604635128926,0.0,0.0,7.800595670540099,-11.562418272864708,-28.8036869594601,0.0,-58.96021959116526,-15.384734359942746,0.0,1.0,23,2,2,4,0,4,0,0,2,2,2,6,4,0,4,4,4.387000000000006,92.90460000000006,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
6-Met,14.50523427224297,-5.852149785840265,14.50523427224297,2.275790952649043,0.6541950145872745,384.5159999999995,352.2600000000001,384.23005950400085,152,0.30314190756603787,-0.45064075135088544,0.45064075135088544,0.30314190756603787,1.0357142857142858,1.8928571428571428,2.607142857142857,7.801811719748342e-16,-0.24598778656408507,-1.2339670108113076e-16,-2.9291143631595844,-7.696326636606339e-17,-2.8718044737683335,3.011048277267561e-17,-1.1271790096661212,48.248558665513926,45.63299316185545,13.632993161855453,25.791287437097104,23.520620726159656,7.520620726159658,6.103954059492991,6.103954059492991,4.559236805337108,4.559236805337108,3.255628178259168,3.255628178259168,-1.7100000000000002,4.476195044430214,6.141666395623698,2.38729327796658,212.2875565154742,4.736862953800049,0.0,17.167540703713566,0.0,0.0,5.969305287951849,14.383611552215466,0.0,0.0,25.807927726662495,79.8114813268628,58.39180561695827,4.1122756685106605,62.984748303462624,17.535795180681728,0.0,0.0,28.511853994882795,77.61909358947204,0.0,23.72931976817597,0.0,60.440000000000005,147.39606253321259,26.720438557747443,0.0,0.0,0.0,4.736862953800049,31.527446791915054,285.20850587290226,0.0,41.31859942038195,0.0,-21.560720536703364,-26.16665707944831,-2.275790952649043,-37.11963804811413,-21.98763200970275,0.0,0.7083333333333334,28,0,4,4,0,4,0,0,4,0,4,6,3,0,3,4,4.575300000000004,106.41100000000007,0,0,3,3,0,0,0,0,0,2,0,0,0,5,1,1,0,2,1,0,0,0,0,0
Etiocholanolone,14.060863220498636,-5.6560445011337865,14.060863220498636,2.8984717994814497,0.7329727353787588,290.4469999999994,260.20699999999994,290.22458020000084,118,0.2104451809645517,-0.39311972765861136,0.39311972765861136,0.2104451809645517,0.9047619047619048,1.7619047619047619,2.5714285714285716,-2.9720191074082226e-16,-0.2459900068856144,-3.998961513788271e-16,-2.9935385633530553,-2.898235759561146e-16,-2.9252075094680006,-1.0022977053986192e-16,-1.196119592856095,41.284457050376176,40.316496580927726,10.316496580927726,21.71536071015907,20.816496580927726,5.908248290463863,4.783248290463863,4.783248290463863,3.5561862178478973,3.5561862178478973,2.42860862707794,2.42860862707794,-0.37,2.7639121387144154,4.565586686358275,1.837078375399089,170.47642558825288,5.1088081911072125,5.783244946364939,0.0,1.4311996572326342,0.0,0.0,4.794537184071822,0.0,0.0,13.703784234591359,79.97422042148412,50.16915494349236,7.450776583120208,49.65534350411545,5.783244946364939,1.4311996572326342,0.0,34.405811680245876,77.14012637350575,0.0,0.0,0.0,37.3,117.32918300011659,10.277571408752703,0.0,0.0,0.0,5.1088081911072125,35.70016356148813,262.90179529828976,0.0,14.060863220498636,3.8818375077303644,-10.687262377173095,-24.83781786429627,0.0,-50.679744438779025,-9.973004679603704,0.0,0.9473684210526315,21,1,2,4,0,4,0,0,2,1,2,3,4,0,4,4,3.9591000000000043,82.74080000000005,1,0,1,1,0,0,0,0,0,0,0,0,0,5,0,0,0,1,1,0,0,0,0,0
